src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
192.168.1.195,41044,185.244.25.235,80,0.015221,0.000248,0.1404,0.017547,0.015441,0.000009,0.140384,0.017667,0.007808,0.000009,0.139654,0.014298,1.030691,145968,2178.626866,457,29200,3401.742485,30275,458.712121,243,14480,1739.126721,176243,1325.135338,243,29200,2840.743633,67,66,133,0.98506,65.004934,64.034711,129.039645,5086,75.910448,66,214,18.289326,96325,1459.469697,66,2962,362.503468,101411,762.488722,66,2962,737.50313,18.939241,4934.553615,93456.71981,98391.27343,2,2,0,6,132,0,0,0,1,0,5,0,3618,3564,7182,0.711225,0.036999,0.070821
192.168.1.195,41052,185.244.25.235,80,0.020349,0.000247,0.524951,0.049523,0.019349,0.000008,0.523702,0.048192,0.01004,0.000006,0.523204,0.035523,2.32929,264769,2322.535088,457,29200,2628.173591,43154,362.638655,243,14480,1299.608453,307923,1321.55794,243,29200,2280.790449,114,119,233,1.04385,48.941952,51.088529,100.030481,8203,71.95614,66,217,15.619595,176472,1482.957983,66,2962,331.688915,184675,792.596567,66,2962,744.18474,21.513102,3521.673986,75762.14211,79283.8161,2,2,0,13,232,0,0,0,1,0,12,0,6156,6426,12582,0.750366,0.036414,0.06813
192.168.1.195,41202,185.244.25.235,80,0.030096,0.00025,1.009926,0.122751,0.015419,0.000007,0.133391,0.017606,0.015398,0.000007,1.009926,0.089033,1.986467,166070,2478.656716,0,29200,4745.24829,29546,468.984127,243,14480,1779.400795,195616,1504.738462,0,29200,3761.419115,67,63,130,0.940284,33.728222,31.714597,65.442819,4977,74.283582,60,215,18.720095,92302,1465.111111,66,2962,444.425904,97279,748.3,60,2962,760.947816,18.545707,2505.453149,46465.40818,48970.86133,2,3,1,7,127,0,0,0,1,0,6,0,3618,3402,7020,0.726798,0.036857,0.072164
192.168.1.195,41206,185.244.25.235,80,0.056221,0.00025,2.080081,0.2653,0.014191,0.000007,0.073457,0.010658,0.028225,0.000007,2.080081,0.189643,4.177469,221026,2947.013333,457,29200,5408.330129,32219,435.391892,243,14480,1643.797045,253245,1699.630872,243,29200,4200.253376,75,74,149,0.986654,17.953455,17.714075,35.66753,5359,71.453333,66,215,17.570652,108273,1463.148649,66,2962,421.249611,113632,762.630872,66,2962,756.61595,20.203952,1282.834175,25918.32519,27201.15936,2,4,0,7,146,0,0,0,1,0,6,0,4050,3996,8046,0.755597,0.036906,0.070808
192.168.1.195,41046,185.244.25.235,80,0.055806,0.000248,2.080066,0.264321,0.014788,0.000007,0.1394,0.017247,0.028634,0.000007,2.080066,0.190843,4.151983,221809,2957.453333,457,29200,5406.886928,31490,443.521127,243,14480,1677.680112,253299,1734.924658,243,29200,4238.538844,75,71,146,0.946654,18.063658,17.100263,35.163921,5462,72.826667,66,214,17.512185,103997,1464.746479,66,2962,423.861548,109459,749.719178,66,2962,755.991001,19.040092,1315.515984,25047.54957,26363.06555,2,4,0,7,143,0,0,0,1,0,6,0,4050,3834,7884,0.741351,0.036866,0.072027
192.168.1.195,41242,185.244.25.235,80,0.058167,0.000249,2.080048,0.258822,0.019392,0.000007,0.420759,0.047268,0.029181,0.000007,2.080048,0.185251,4.727404,238891,2913.304878,457,29200,5173.02736,33920,418.765432,243,14480,1572.093817,272811,1673.687117,243,29200,4030.629485,82,81,163,0.987793,17.345672,17.13414,34.479812,5950,72.560976,66,216,17.394348,115565,1426.728395,66,1514,340.624228,121515,745.490798,66,1514,718.494142,19.422686,1258.618895,24445.76347,25704.38236,2,4,0,7,160,0,0,0,1,0,6,0,4428,4374,8802,0.744077,0.037849,0.072436
192.168.1.195,41042,185.244.25.235,80,0.087062,0.00025,4.079921,0.467312,0.014177,0.000006,0.109921,0.012999,0.044599,0.000006,4.079921,0.336663,8.563123,304182,3072.545455,457,29200,5411.212848,37079,394.457447,243,14480,1460.602722,341261,1768.19171,243,29200,4225.018829,99,94,193,0.949485,11.561203,10.977303,22.538506,7265,73.383838,66,217,16.422273,140352,1493.106383,66,2962,337.291416,147617,764.854922,66,2962,747.738102,19.318924,848.405424,16390.28191,17238.68733,2,5,0,10,189,0,0,0,1,0,9,0,5346,5076,10422,0.735756,0.036166,0.070602
192.168.1.195,41060,185.244.25.235,80,0.088705,0.000249,4.080177,0.47386,0.013419,0.000008,0.087669,0.01043,0.044946,0.000008,4.080177,0.339732,8.450041,296257,3086.010417,457,29200,5494.902538,36836,396.086022,243,14480,1468.349535,333093,1762.396825,243,29200,4266.848102,96,93,189,0.96874,11.360892,11.005864,22.366756,7095,73.90625,66,217,16.881991,136005,1462.419355,66,2962,334.816667,143100,757.142857,66,2962,732.923519,19.16913,839.640896,16095.18818,16934.82907,2,5,0,8,185,0,0,0,1,0,7,0,5184,5022,10206,0.730552,0.036925,0.071321
192.168.1.195,41096,185.244.25.235,80,0.126951,0.000249,4.080178,0.574554,0.01485,0.000006,0.078458,0.011364,0.065179,0.000006,4.080178,0.415954,8.147461,221940,3414.461538,457,29200,6640.883169,29060,476.393443,243,14480,1807.857833,251000,1992.063492,243,29200,5146.733746,65,61,126,0.938447,7.977946,7.486995,15.464941,4779,73.523077,66,215,18.660619,88626,1452.885246,66,2962,380.712796,93405,741.309524,66,2962,738.600505,18.54488,586.563102,10877.74461,11464.30772,2,5,0,6,122,0,0,0,1,0,5,0,3510,3294,6804,0.73431,0.037167,0.072844
192.168.1.195,50778,185.244.25.235,6667,0.135328,0.000249,0.946711,0.307235,0.169613,0.000006,0.964187,0.355434,0.072175,0.000006,0.946711,0.234077,1.08272,32856,3650.666667,457,29200,9033.053427,12670,1810,181,11584,3990.218791,45526,2845.375,181,29200,7327.848728,9,7,16,0.777691,8.312398,6.465199,14.777597,677,75.222222,66,126,18.629593,704,100.571429,66,160,34.866509,1381,86.3125,66,160,29.75256,1.03988,625.27708,650.214275,1275.491355,1,2,0,6,15,0,0,0,2,0,4,0,486,378,864,0.716814,0.53617,0.625634
